"RHDI (ranking human development index, 2019)","HDI (human development index value, 2019)","LE (life expectancy at birth, years, 2019)","EYS (expected years of schooling, years, 2019)","MYS (mean years of schooling, years, 2019)",GNI (gross national income per capita 2019 (2017 PPP $),"TP (total population, millions, 2019)","TUP (total urban population, %, 2019)","RPAE (rural population with access to electricity, %, 2018)","CDEP (carbon dioxide emissions production per capita, tonnes, 2018)","RLI (red list index value, 2019)",Continent,"GDIV (gender development index value, 2019)","GIIV (gender inequality index value, 2019)","IHDI (gender inequality index value, 2019)","ILE (inequality in life expectancy, %, 2015-2020)","IE (inequality in education, %, 2019)","II (inequality in income, %, 2019)","SSP (share of seats in parliament, % held by women, 2019)","MA (median age, years, 2020)","CHE (current health expenditure, % of GDP)","GEE (government expenditure on education, % of GDP, 2013-2018)","PPP (physicians per 10000 people, 2010-2018)","HB (hospital beds per 10000 people, 2010-2019)","VE (vulnerable employment, % of total employment, 2019)","WAFI (Women with account at financial institution or with mobile money-service provider, % of female population ages 15 and older, 2017)","CDE (Carbon dioxide emissions per unit of GDP, kg per 2010 US$ of GDP)","FA (forest area, % of total land area, 2016)","FAC (forest area change, %, 1990/2016)","DMC (domestic material consumption per capita, tonnes, 2017)","SLF (skilled labour force, % of labour force, 2010-2019)","RDE (research and development expenditure, % of GDP, 2014-2018)"
54,0.82,77.68999999999998,16.60266555,8.10682,27700.89481,83.429607,75.59999999999998,100.0,5.200135322,0.8757300000000001,Asia,0.9239286215250176,0.306,0.683,9.0,16.5,24.09507,17.44966443,31.549,4.216303,3.860831315789474,18.492,28.5,27.043,54.29382324,0.19227,15.35465,22.81646633,18.74269,46.3447,0.96105
55,0.8169999999999998,77.90999999999998,16.83564,8.925729999999998,20063.64222,3.461731000000001,95.4,100.0,2.013141854,0.8547800000000001,South America,1.0161750582009683,0.288,0.7119999999999999,7.9,6.526061455,23.357915,20.93023256,35.76,9.296212,4.8403,50.794,24.3,24.32,60.62883759,0.08438000000000001,10.67158,134.1113084,37.62024,26.0815,0.4839300000000001
56,0.8159999999999998,75.04999999999998,14.41442,11.36009,23324.6574,7.000117,75.29999999999998,100.0,6.31220567,0.94087,Europe,0.9946854591719438,0.20600000000000002,0.7209999999999999,6.1,6.09875,21.79482,25.83333333,44.596,8.095603,4.07685,40.332,74.5,7.793999999999999,73.63685608,0.33285,35.37399,17.62621289,19.59041,87.894,0.76803
57,0.8149999999999998,78.51,12.90561,10.24,29557.66834,4.24644,68.1,100.0,2.618755819,0.74572,North America,1.0190276248713592,0.4069999999999999,0.643,12.0,11.37222672,36.912765,21.12676056,29.677,7.319491,4.537240624999999,15.687,22.5,34.218,42.33934402,0.10739999999999998,61.88593,-8.718252031,7.64784,54.1717,0.14699
58,0.8139999999999998,73.92,12.89945,11.43692,33747.21264,0.389486,83.09999999999998,100.0,4.700275129,0.70186,North America,0.9775500418833575,0.341,0.5952666666666667,6.8,6.3,32.45698486666666,21.81818182,32.25,5.758889,4.537240624999999,20.068,29.6,14.066,53.50663103285712,0.20586,51.44855,0.0,3.03672,47.01161999999999,0.5605236363636362
58,0.8139999999999998,79.18999999999998,15.39288672,10.64244442,14935.90942,0.287021,31.2,100.0,4.474935547,0.8976900000000001,North America,1.0080567125751807,0.252,0.6760000000000002,8.699999999999998,5.5,33.6,29.41176471,40.493,6.779127,4.65652,24.843,59.7,15.841,53.50663103285712,0.20586,14.65116,0.0,2.30107,47.01161999999999,0.5605236363636362
60,0.813,77.86,14.18214,9.731845912,25944.07218,4.974992,85.4,100.0,13.93342503,0.8913799999999998,Asia,0.9356256026877758,0.306,0.706,6.7,11.9488,20.1,9.88372093,30.604,3.849072,4.97011,20.031,14.7,2.633,63.52985382,0.37984,0.006459999999999999,0.0,31.67213,52.396527500000005,0.21961
61,0.812,73.76999999999998,15.27506,13.13296,14428.79984,3.996762,59.0,100.0,2.638009744,0.8714199999999999,Asia,0.9795443902116026,0.331,0.716,7.9,4.1406,22.52352,14.76510067,38.268,7.601658999999999,3.84974,71.201,28.9,49.084,63.61225891,0.24607,40.61591,2.558135986,6.78208,93.4484,0.30457
62,0.8100000000000002,80.28,15.65154,8.741939999999998,18486.37141,5.047561,80.09999999999998,100.0,1.611880208,0.8310299999999999,North America,0.9812972413684269,0.288,0.661,7.1,11.58937058,33.91643,45.61403509,33.462,7.328795999999999,7.02824,28.939,11.0,21.056,60.87906265,0.10146,54.56717,8.666144741,8.58308,43.9963,0.42336
62,0.8100000000000002,76.15999999999998,13.67864,10.37283,27534.09856,31.949789,76.59999999999998,100.0,8.073021872,0.7687,Asia,0.9717958908380915,0.253,0.6202777777777779,6.1,12.1,19.29900227749999,15.51724138,30.262,3.859398,4.53477,15.358,18.8,21.789,82.47853851,0.25393,67.59762,-0.745445036,19.27153,66.8,1.43665
